loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_PCC_V,eval_PCC_A,eval_RMSE_VA,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.2186,3.2995002269744873,9.449728260869567e-06,0.5173807599029911,160,,,,,,,,,,,,
5.1945,3.660789966583252,9.38179347826087e-06,0.549717057396928,170,,,,,,,,,,,,
5.1628,3.887772560119629,9.313858695652175e-06,0.582053354890865,180,,,,,,,,,,,,
5.1811,3.323446273803711,9.245923913043479e-06,0.6143896523848019,190,,,,,,,,,,,,
5.0963,3.256767511367798,9.177989130434784e-06,0.6467259498787389,200,,,,,,,,,,,,
,,,0.6467259498787389,200,5.069528579711914,0.22892799973487854,0.37938928604125977,0.16532261669635773,30.5501,182.16,5.074,,,,,
5.0997,3.5976860523223877,9.110054347826087e-06,0.6790622473726758,210,,,,,,,,,,,,
5.0765,3.1757616996765137,9.042119565217393e-06,0.7113985448666128,220,,,,,,,,,,,,
5.1241,3.3593292236328125,8.974184782608696e-06,0.7437348423605498,230,,,,,,,,,,,,
5.0836,4.182314395904541,8.906250000000001e-06,0.7760711398544866,240,,,,,,,,,,,,
5.0044,3.7075271606445312,8.838315217391305e-06,0.8084074373484236,250,,,,,,,,,,,,
,,,0.8084074373484236,250,4.968890190124512,0.23242421448230743,0.38862112164497375,0.1623280644416809,30.5419,182.209,5.075,,,,,
4.95,5.835762977600098,8.77038043478261e-06,0.8407437348423605,260,,,,,,,,,,,,
4.9689,3.8304731845855713,8.702445652173914e-06,0.8730800323362975,270,,,,,,,,,,,,
4.9958,5.004743576049805,8.634510869565219e-06,0.9054163298302345,280,,,,,,,,,,,,
5.0543,4.987716197967529,8.566576086956522e-06,0.9377526273241714,290,,,,,,,,,,,,
4.9393,4.463514804840088,8.498641304347827e-06,0.9700889248181084,300,,,,,,,,,,,,
,,,0.9700889248181084,300,4.9018073081970215,0.2473888099193573,0.379409521818161,0.16402392089366913,30.3182,183.553,5.112,,,,,
4.9419,9.093029975891113,8.430706521739131e-06,1.0,310,,,,,,,,,,,,
4.9117,5.0534257888793945,8.362771739130434e-06,1.032336297493937,320,,,,,,,,,,,,
4.9022,4.724121570587158,8.29483695652174e-06,1.064672594987874,330,,,,,,,,,,,,
4.8722,5.409212589263916,8.226902173913043e-06,1.0970088924818109,340,,,,,,,,,,,,
4.878,4.358802795410156,8.158967391304348e-06,1.1293451899757478,350,,,,,,,,,,,,
,,,1.1293451899757478,350,4.847039222717285,0.24749286472797394,0.3847784996032715,0.162059023976326,30.4026,183.043,5.098,,,,,
4.7793,5.131621360778809,8.091032608695652e-06,1.1616814874696848,360,,,,,,,,,,,,
4.8411,4.35744047164917,8.023097826086957e-06,1.1940177849636218,370,,,,,,,,,,,,
4.8341,4.679205417633057,7.95516304347826e-06,1.2263540824575587,380,,,,,,,,,,,,
4.7875,4.388106822967529,7.887228260869566e-06,1.2586903799514957,390,,,,,,,,,,,,
4.8638,6.551140308380127,7.81929347826087e-06,1.2910266774454324,400,,,,,,,,,,,,
,,,1.2910266774454324,400,4.793208599090576,0.23763570189476013,0.39464235305786133,0.1638067066669464,30.3218,183.531,5.112,,,,,
4.8184,4.3108086585998535,7.751358695652175e-06,1.3233629749393694,410,,,,,,,,,,,,
4.7537,5.631913661956787,7.683423913043478e-06,1.3556992724333063,420,,,,,,,,,,,,
4.7635,5.345787048339844,7.615489130434783e-06,1.3880355699272433,430,,,,,,,,,,,,
4.7783,4.908717632293701,7.547554347826087e-06,1.4203718674211803,440,,,,,,,,,,,,
4.8165,6.562297344207764,7.479619565217392e-06,1.4527081649151172,450,,,,,,,,,,,,
,,,1.4527081649151172,450,4.769382953643799,0.23105305433273315,0.3679051399230957,0.16440974175930023,30.3406,183.418,5.109,,,,,
4.779,6.209814548492432,7.4116847826086954e-06,1.4850444624090542,460,,,,,,,,,,,,
4.7322,4.8442206382751465,7.343750000000001e-06,1.5173807599029911,470,,,,,,,,,,,,
4.7851,6.370983600616455,7.275815217391306e-06,1.5497170573969279,480,,,,,,,,,,,,
4.7082,5.487894058227539,7.207880434782609e-06,1.5820533548908648,490,,,,,,,,,,,,
4.7501,5.335636138916016,7.139945652173914e-06,1.6143896523848018,500,,,,,,,,,,,,
,,,1.6143896523848018,500,4.725592613220215,0.22788269817829132,0.3830588757991791,0.16657839715480804,30.3938,183.096,5.1,,,,,
4.7432,6.328208923339844,7.072010869565218e-06,1.6467259498787388,510,,,,,,,,,,,,
